epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2164,3.78104,3.91669,4.18501,0.00192,0.20172,0.00418,0.00076,3.78071,3.93705,4.13303,0.000650794,0.000650794,0.000650794
2,87.4567,3.34011,3.56662,3.72348,0.00222,0.06724,0.00169,0.00046,3.84909,3.96713,4.28132,0.00129137,0.00129137,0.00129137
3,126.725,2.99909,3.28558,3.2073,0.01651,0.03966,0.00623,0.00198,2.91107,10.9995,3.29347,0.00190556,0.00190556,0.00190556
4,170.299,2.87882,3.15005,3.00978,0.07056,0.0954,0.0335,0.01127,2.77613,4.20844,3.13329,0.0018812,0.0018812,0.0018812
5,210.084,2.74699,2.959,2.83604,0.1237,0.15517,0.06447,0.0182,2.74509,4.15292,3.04823,0.0018416,0.0018416,0.0018416
6,250.616,2.63181,2.82497,2.72551,0.16821,0.16149,0.08932,0.03006,2.49616,4.74238,2.65262,0.001802,0.001802,0.001802
7,291.429,2.53799,2.66696,2.64837,0.18804,0.1977,0.10164,0.03792,2.37167,2.94048,2.61571,0.0017624,0.0017624,0.0017624
8,332.766,2.44308,2.62428,2.58706,0.23147,0.23333,0.144,0.04718,2.31853,2.67408,2.55753,0.0017228,0.0017228,0.0017228
9,375.11,2.39184,2.53458,2.53336,0.29756,0.14195,0.11947,0.0458,2.3598,3.0574,2.76018,0.0016832,0.0016832,0.0016832
10,415.226,2.27325,2.44874,2.4393,0.25784,0.2546,0.17333,0.0689,2.24001,2.52596,2.45221,0.0016436,0.0016436,0.0016436
11,453.8,2.25858,2.36589,2.41216,0.38585,0.29943,0.28293,0.1124,2.12129,2.30555,2.34249,0.001604,0.001604,0.001604
12,493.806,2.14522,2.24273,2.33124,0.44135,0.35287,0.34262,0.1489,2.02533,2.13083,2.28192,0.0015644,0.0015644,0.0015644
13,536.802,2.12309,2.22075,2.31182,0.38226,0.3407,0.3142,0.13652,1.98137,2.35717,2.23795,0.0015248,0.0015248,0.0015248
14,575.861,2.06914,2.15063,2.24798,0.46752,0.3931,0.3785,0.16045,1.99824,2.04678,2.24247,0.0014852,0.0014852,0.0014852
15,616.363,2.02899,2.09551,2.22382,0.38756,0.33793,0.32204,0.13926,1.97512,2.20708,2.23981,0.0014456,0.0014456,0.0014456
16,655.678,1.9946,2.0289,2.16102,0.4394,0.36609,0.35773,0.16335,1.94655,2.15026,2.22457,0.001406,0.001406,0.001406
17,696.067,1.92091,1.98171,2.12543,0.44166,0.3931,0.37428,0.18038,1.84843,2.03231,2.11674,0.0013664,0.0013664,0.0013664
18,737.886,1.93022,2.00037,2.12697,0.46903,0.4023,0.40246,0.19076,1.8515,2.00609,2.12963,0.0013268,0.0013268,0.0013268
19,778.155,1.89987,1.95662,2.08702,0.57646,0.43678,0.48087,0.23903,1.7842,1.86917,2.06573,0.0012872,0.0012872,0.0012872
20,817.199,1.87687,1.92289,2.09507,0.5836,0.45268,0.48961,0.24741,1.80617,1.82493,2.07047,0.0012476,0.0012476,0.0012476
21,856.803,1.86388,1.87569,2.03998,0.62544,0.49943,0.56342,0.28871,1.69205,1.73291,1.94682,0.001208,0.001208,0.001208
22,899.534,1.8248,1.81355,2.0065,0.65702,0.47701,0.56579,0.2855,1.70966,1.70634,1.95148,0.0011684,0.0011684,0.0011684
23,938.367,1.8147,1.84178,2.01497,0.58419,0.47069,0.51566,0.24673,1.72868,1.78055,1.98514,0.0011288,0.0011288,0.0011288
24,978.716,1.8049,1.79646,1.97389,0.59471,0.52816,0.56503,0.28955,1.65093,1.78415,1.90556,0.0010892,0.0010892,0.0010892
25,1017.12,1.76576,1.74613,1.97181,0.60116,0.4825,0.55082,0.29691,1.66241,1.71747,1.93605,0.0010496,0.0010496,0.0010496
26,1056.36,1.73103,1.68936,1.91074,0.6228,0.52001,0.5854,0.31851,1.62181,1.61865,1.896,0.00101,0.00101,0.00101
27,1100.91,1.71642,1.71023,1.9389,0.67613,0.56609,0.63814,0.33827,1.63339,1.49735,1.87779,0.0009704,0.0009704,0.0009704
28,1141.02,1.71952,1.66482,1.92242,0.67568,0.55747,0.63717,0.35635,1.55774,1.54028,1.81087,0.0009308,0.0009308,0.0009308
